日期,一年期LPR(%),五年期以上LPR(%)
2025-11-20,3.00,3.50
2025-10-20,3.00,3.50
2025-09-22,3.00,3.50
2025-08-20,3.00,3.50
2025-07-21,3.00,3.50
2025-06-20,3.00,3.50
2025-05-20,3.00,3.50
2025-04-21,3.10,3.60
2025-03-20,3.10,3.60
2025-02-20,3.10,3.60
2025-01-20,3.10,3.60
